device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,,
wellmapId,1001,1002
sennum,1001,1002
measurement,Temperature,Temperature
10.04278,38.9,37.7
10.05944,38.9,37.7
10.07611,38.9,37.7
10.09278,38.9,37.7
10.10944,38.9,37.7
10.12611,38.9,37.7
10.14278,38.9,37.7
10.15944,38.9,37.7
10.17611,38.9,37.7
10.19278,38.9,37.7
10.20944,38.9,37.7
10.22611,38.9,37.7
10.24278,38.9,37.7
10.25944,38.9,37.7
10.27611,39,37.7
10.29278,38.9,37.7
10.30944,38.9,37.7
10.32611,38.9,37.7
10.34278,38.9,37.7
10.35944,39,37.7
10.37611,39,37.7
10.39278,38.9,37.7
10.40944,38.9,37.7
10.42611,38.9,37.7
10.44278,38.9,37.7
10.45944,38.9,37.7
10.47611,38.9,37.7
10.49278,39,37.7
10.50944,38.9,37.7
10.52611,38.9,37.7
10.54278,39,37.7
10.55944,39,37.7
10.57611,38.9,37.7
10.59278,38.9,37.7
10.60944,38.9,37.7
10.62611,39,37.7
10.64278,39,37.7
10.65944,39,37.7
10.67611,39,37.7
10.69278,38.9,37.7
10.70944,38.9,37.7
10.72611,39,37.7
10.74278,39,37.7
10.75944,38.9,37.7
10.77611,38.9,37.7
10.79278,38.9,37.7
10.80944,38.9,37.7
10.82611,38.9,37.7
10.84278,38.9,37.7
10.85944,38.9,37.7
10.87611,39,37.7
10.89278,39,37.7
10.90944,39,37.7
10.92611,39,37.7
10.94278,39,37.7
10.95944,39,37.7
10.97611,39,37.7
10.99278,39,37.7
11.00944,39,37.7
11.02611,39,37.7
11.04278,39,37.7
11.05944,39,37.7
11.07611,39,37.7
11.09278,39,37.7
11.10944,39,37.7
11.12611,39,37.7
11.14278,39,37.7
11.15944,39,37.7
11.17611,39,37.7
11.19278,39,37.7
11.20944,39,37.7
11.22611,39,37.7
11.24278,39,37.7
11.25944,39,37.7
11.27611,39,37.7
11.29278,39,37.7
11.30944,39,37.7
11.32611,39,37.7
11.34278,39,37.7
11.35944,39,37.7
11.37611,39,37.7
11.39278,39,37.7
11.40944,39,37.7
11.42611,39,37.7
11.44278,39,37.7
11.45944,39,37.7
11.47611,39,37.7
11.49278,39,37.7
11.50944,39,37.7
11.52611,39,37.7
11.54278,39,37.7
11.55944,39,37.7
11.57611,39,37.7
11.59278,39,37.7
11.60944,39,37.7
11.62611,39,37.7
11.64278,39,37.7
11.65944,39,37.7
11.67611,39,37.7
11.69278,39,37.7
11.70944,39,37.7
11.72611,39,37.7
11.74278,39,37.7
11.75944,39,37.7
11.77611,39,37.7
11.79278,39,37.7
11.80944,39,37.7
11.82611,39,37.7
11.84278,39,37.7
11.85944,39,37.7
11.87611,39,37.7
11.89278,39,37.7
11.90944,39,37.7
11.92611,39,37.7
11.94278,39,37.7
11.95944,39,37.7
11.97611,39,37.7
11.99278,39,37.7
12.00944,39,37.7
12.02611,39,37.7
12.04278,39,37.7
12.05944,39,37.7
12.07611,39,37.7
12.09278,39,37.7
12.10944,39,37.7
12.12611,39,37.7
12.14278,39,37.7
12.15944,39,37.7
12.17611,39,37.7
12.19278,39,37.7
12.20944,39,37.7
12.22611,39,37.7
12.24278,39,37.7
12.25944,39,37.7
12.27611,39,37.7
12.29278,39,37.7
12.30944,39,37.7
12.32611,39,37.7
12.34278,39,37.7
12.35944,39,37.7
12.37611,39,37.7
12.39278,39,37.7
12.40944,39,37.7
12.42611,39,37.7
12.44278,39,37.7
12.45944,39,37.7
12.47611,39,37.7
12.49278,39,37.7
12.50944,39,37.7
12.52611,39,37.7
12.54278,39,37.7
12.55944,39,37.7
12.57611,39,37.7
12.59278,39,37.7
12.60944,39,37.7
12.62611,39,37.7
12.64278,39,37.7
12.65944,39,37.7
12.67611,39,37.7
12.69278,39,37.7
12.70944,39,37.7
12.72611,39,37.7
12.74278,39,37.7
12.75944,39,37.7
12.77611,39,37.7
12.79278,39,37.7
12.80944,39,37.7
12.82611,39,37.7
12.84278,39,37.7
12.85944,39,37.7
12.87611,39,37.7
12.89278,39,37.7
12.90944,38.9,37.7
12.92611,38.9,37.7
12.94278,38.9,37.7
12.95944,38.9,37.7
12.97611,38.9,37.7
12.99278,38.9,37.7
13.00944,39,37.7
13.02611,38.9,37.7
13.04278,38.9,37.7
13.05944,38.9,37.7
13.07611,38.9,37.7
13.09278,38.9,37.7
13.10944,38.9,37.7
13.12611,38.9,37.7
13.14278,38.9,37.7
13.15944,38.9,37.650000000000006
13.17611,38.9,37.7
13.19278,39,37.7
13.20944,38.9,37.7
13.22611,38.9,37.7
13.24278,38.9,37.7
13.25944,38.9,37.7
13.27611,38.9,37.7
13.29278,38.9,37.7
13.30944,38.9,37.7
13.32611,38.9,37.7
13.34278,38.9,37.7
13.35944,38.9,37.7
13.37611,38.9,37.7
13.39278,38.9,37.7
13.40944,38.9,37.7
13.42611,38.9,37.7
13.44278,38.9,37.7
13.45944,38.9,37.7
13.47611,38.9,37.7
13.49278,38.9,37.7
13.50944,38.9,37.7
13.52611,38.9,37.7
13.54278,38.9,37.7
13.55944,39,37.7
