device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,,
wellmapId,1001,1002
sennum,1001,1002
measurement,Temperature,Temperature
13.38444,38.8,37.650000000000006
13.40111,38.8,37.6
13.41778,38.8,37.6
13.43444,38.8,37.660000000000004
13.45111,38.8,37.650000000000006
13.46778,38.8,37.650000000000006
13.48444,38.8,37.650000000000006
13.50111,38.8,37.64736842105263
13.51778,38.8,37.653333333333336
13.53444,38.8,37.7
13.55111,38.8,37.7
13.56778,38.9,37.7
13.58444,38.8,37.650000000000006
13.60111,38.8,37.65555555555556
13.61778,38.8,37.650000000000006
13.63444,38.8,37.7
13.65111,38.8,37.7
13.66778,38.8,37.7
13.68444,38.9,37.7
13.70111,38.9,37.7
13.71778,38.9,37.7
13.73444,38.9,37.7
13.75111,38.9,37.65714285714286
13.76778,38.9,37.65
13.78444,38.9,37.650000000000006
13.80111,38.9,37.7
13.81778,38.9,37.7
13.83444,38.9,37.7
13.85111,38.9,37.7
13.86778,38.9,37.7
13.88444,38.8,37.7
13.90111,38.8,37.7
13.91778,38.8,37.69375
13.93444,38.8,37.7
13.95111,38.8,37.7
13.96778,38.8,37.7
13.98444,38.8,37.7
14.00111,38.8,37.7
14.01778,38.8,37.7
14.03444,38.8,37.7
14.05111,38.8,37.7
14.06778,38.8,37.7
14.08444,38.8,37.7
14.10111,38.8,37.7
14.11778,38.8,37.7
14.13444,38.8,37.7
14.15111,38.8,37.7
14.16778,38.8,37.7
14.18444,38.8,37.7
14.20111,38.8,37.7
14.21778,38.8,37.7
14.23444,38.8,37.7
14.25111,38.8,37.7
14.26778,38.8,37.7
14.28444,38.8,37.7
14.30111,38.8,37.7
14.31778,38.8,37.7
14.33444,38.8,37.7
14.35111,38.8,37.7
14.36778,38.8,37.7
14.38444,38.8,37.7
14.40111,38.8,37.7
14.41778,38.8,37.7
14.43444,38.8,37.7
14.45111,38.8,37.7
14.46778,38.8,37.7
14.48444,38.8,37.7
14.50111,38.8,37.7
14.51778,38.8,37.7
14.53444,38.8,37.7
14.55111,38.8,37.65
14.56778,38.8,37.647619047619045
14.58444,38.8,37.650000000000006
14.60111,38.8,37.65384615384615
14.61778,38.8,37.65
14.63444,38.8,37.65
14.65111,38.8,37.7
14.66778,38.8,37.650000000000006
14.68444,38.8,37.7
14.70111,38.8,37.7
14.71778,38.8,37.7
14.73444,38.8,37.7
14.75111,38.8,37.7
14.76778,38.8,37.7
14.78444,38.8,37.7
14.80111,38.8,37.7
14.81778,38.8,37.65
14.83444,38.8,37.67777777777778
14.85111,38.8,37.65483870967743
14.86778,38.8,37.644444444444446
14.88444,38.7,37.654545454545456
14.90111,38.8,37.650000000000006
14.91778,38.8,37.65
14.93444,38.8,37.650000000000006
14.95111,38.8,37.650000000000006
14.96778,38.8,37.650000000000006
14.98444,38.8,37.7
15.00111,38.8,37.7
15.01778,38.8,37.7
15.03444,38.8,37.7
15.05111,38.8,37.7
15.06778,38.8,37.7
15.08444,38.8,37.7
15.10111,38.8,37.7
15.11778,38.8,37.666666666666664
15.13444,38.8,37.65294117647059
15.15111,38.8,37.65
15.16778,38.8,37.65384615384615
15.18444,38.8,37.650000000000006
15.20111,38.8,37.7
15.21778,38.8,37.648
15.23444,38.8,37.65294117647059
15.25111,38.8,37.650000000000006
15.26778,38.8,37.650000000000006
15.28444,38.8,37.642857142857146
15.30111,38.8,37.65238095238095
15.31778,38.8,37.65
15.33444,38.8,37.648
15.35111,38.8,37.65
15.36778,38.8,37.65
15.38444,38.8,37.650000000000006
15.40111,38.8,37.6
15.41778,38.8,37.6
15.43444,38.8,37.650000000000006
15.45111,38.8,37.6
15.46778,38.8,37.64
15.48444,38.8,37.650000000000006
15.50111,38.8,37.660000000000004
15.51778,38.8,37.650000000000006
15.53444,38.9,37.650000000000006
15.55111,38.9,37.7
15.56778,38.9,37.64615384615385
15.58444,38.8,37.65714285714286
15.60111,38.9,37.7
15.61778,38.9,37.7
15.63444,38.9,37.7
15.65111,38.9,37.7
15.66778,38.9,37.7
15.68444,38.9,37.7
15.70111,38.9,37.7
15.71778,38.9,37.7
15.73444,38.9,37.7
15.75111,39,37.7
15.76778,39,37.7
15.78444,38.9,37.7
15.80111,38.9,37.7
15.81778,39,37.7
15.83444,38.9,37.7
15.85111,38.9,37.7
15.86778,38.9,37.7
15.88444,38.9,37.7
15.90111,38.9,37.7
15.91778,38.9,37.7
15.93444,39,37.7
15.95111,38.9,37.7
15.96778,38.9,37.7
15.98444,38.9,37.7
16.00111,38.9,37.7
16.01778,38.9,37.7
16.03444,38.9,37.7
16.05111,38.9,37.7
16.06778,38.9,37.7
16.08444,38.9,37.7
16.10111,38.9,37.7
16.11778,38.9,37.7
16.13444,38.9,37.7
16.15111,38.9,37.7
16.16778,39,37.7
16.18444,38.9,37.7
16.20111,38.9,37.7
16.21778,38.9,37.7
16.23444,39,37.7
16.25111,39,37.7
16.26778,39,37.7
16.28444,38.9,37.7
16.30111,38.9,37.7
16.31778,38.9,37.7
16.33444,38.9,37.7
16.35111,38.9,37.7
